src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.134,445,192.99.199.133,49671,TCP,1476813930.641163,1476813961.95986,31.318697,2,176,1
192.168.199.133,49671,192.232.199.134,445,TCP,1476813930.822209,1476813947.385555,16.563346,2,234,1
192.168.199.133,49671,192.168.199.150,445,TCP,1476813930.947223,1476813937.944732,6.997509,3,363,1
192.168.199.134,445,192.168.199.133,49667,TCP,1476813931.1347,1476813948.448653,17.313953,3,386,1
192.168.199.133,49671,192.168.146.134,445,TCP,1476813931.196446,1476813942.070485,10.874039,2,246,1
192.168.199.133,35847,192.168.199.134,445,TCP,1476813931.19922,1476813940.63566,9.43644,2,258,1
192.168.199.133,49671,192.168.199.134,27325,TCP,1476813931.260031,1476813935.885852,4.625821,2,246,1
192.169.199.134,445,192.168.199.133,49671,TCP,1476813931.321857,1476813947.511353,16.189496,2,264,1
192.168.199.133,49671,192.168.198.134,445,TCP,1476813931.384299,1476813945.444951,14.060652,5,522,1
192.168.199.134,445,77.168.199.133,49671,TCP,1476813931.384794,1476813962.260564,30.875770,2,215,1
192.168.195.134,445,192.168.199.133,49671,TCP,1476813931.386858,1476813944.823655,13.436797,4,413,1
192.168.199.133,49671,192.168.199.134,429,TCP,1476813931.509154,1476813941.38395,9.874796,5,609,1
194.168.199.134,445,192.168.199.133,49671,TCP,1476813931.573357,1476813945.322644,13.749287,2,252,1
192.168.199.133,49927,192.168.199.134,445,TCP,1476813932.011922,1476813939.571282,7.559360,4,468,1
192.168.199.134,445,192.168.199.135,49671,TCP,1476813932.075519,1476813941.633302,9.557783,2,239,1
192.168.199.134,445,128.168.199.133,49671,TCP,1476813932.135686,1476813936.88272,4.747034,3,341,1
192.168.199.134,189,192.168.199.133,49671,TCP,1476813932.258488,1476813935.822838,3.564350,3,370,1
192.168.83.133,49671,192.168.199.134,445,TCP,1476813932.259782,1476813938.386693,6.126911,3,363,1
192.172.199.133,49671,192.168.199.134,445,TCP,1476813932.31993,1476813945.321871,13.001941,4,417,1
192.168.199.134,445,192.37.0.133,49671,TCP,1476813932.322093,1476813942.572888,10.250795,2,272,1
192.168.199.134,445,196.168.199.133,49671,TCP,1476813932.322712,1476813938.196831,5.874119,4,504,1
192.168.199.133,43690,192.168.199.170,43690,TCP,1476813932.382653,1476813948.257625,15.874972,4,417,1
192.168.199.133,49671,192.169.199.134,445,TCP,1476813932.446334,1476813945.509672,13.063338,4,468,1
192.168.199.134,445,79.168.199.133,49671,TCP,1476813932.570376,1476813947.196954,14.626578,2,239,1
64.168.199.133,49671,192.168.199.134,445,TCP,1476813932.633226,1476813944.823535,12.190309,3,363,1
192.168.195.133,49671,192.168.199.134,445,TCP,1476813932.63446,1476813946.823807,14.189347,2,246,1
192.168.199.133,49671,192.168.199.79,445,TCP,1476813932.634774,1476813934.13427,1.499496,2,234,1
192.168.199.133,49671,192.168.199.134,361,TCP,1476813932.821572,1476813936.319877,3.498305,2,171,1
192.168.199.133,49671,192.168.199.134,293,TCP,1476813932.8836,1476813946.634763,13.751163,3,351,1
192.168.199.134,445,193.168.199.133,49671,TCP,1476813932.884923,1476813937.321084,4.436161,2,253,1
192.168.199.134,445,208.168.199.133,49671,TCP,1476813932.94874,1476813946.884615,13.935875,2,239,1
192.168.199.37,445,0.168.199.133,49671,TCP,1476813933.010976,1476813965.279053,32.268077,6,642,1
192.168.199.134,43690,192.168.170.170,43690,TCP,1476813933.072839,1476814009.698294,76.625455,76,7105,1
192.116.199.134,445,192.168.199.133,49671,TCP,1476813933.448966,1476813947.011181,13.562215,2,194,1
192.168.199.133,59399,192.168.199.134,445,TCP,1476813933.63547,1476813941.636276,8.000806,2,234,1
192.168.75.133,49671,192.168.199.134,445,TCP,1476813933.636218,1476813945.049663,11.413445,3,351,1
37.0.199.133,49671,192.168.199.134,445,TCP,1476813933.636763,1476813948.007671,14.370908,4,405,1
192.40.199.134,445,192.168.199.133,49671,TCP,1476813933.636914,1476813939.133438,5.496524,2,273,1
192.172.199.134,445,192.168.199.133,49671,TCP,1476813933.637543,1476813955.586675,21.949132,2,223,1
192.168.199.133,49671,192.136.199.134,445,TCP,1476813933.694644,1476813943.886589,10.191945,4,417,1
192.168.199.133,49671,200.168.199.134,445,TCP,1476813933.822382,1476813946.883728,13.061346,3,363,1
192.168.199.134,445,192.170.199.133,49671,TCP,1476813934.009069,1476813959.172537,25.163468,3,312,1
192.168.199.133,49671,192.168.215.134,445,TCP,1476813934.570602,1476813941.885983,7.315381,2,234,1
192.40.199.133,49671,192.168.199.134,445,TCP,1476813934.635503,1476813940.135885,5.500382,2,246,1
192.168.199.133,49703,192.168.199.134,445,TCP,1476813934.635885,1476813942.822443,8.186558,3,288,1
192.168.199.134,445,192.168.71.133,49671,TCP,1476813934.88556,1476813964.474616,29.589056,4,448,1
192.168.199.197,49671,192.168.199.134,445,TCP,1476813935.196754,1476813947.32435,12.127596,2,246,1
192.184.199.133,49671,192.168.199.134,445,TCP,1476813935.383987,1476813941.823009,6.439022,4,480,1
192.168.199.133,49671,192.168.199.134,60605,TCP,1476813935.386242,1476813944.195865,8.809623,2,258,1
192.120.199.134,445,192.168.199.133,49671,TCP,1476813935.509335,1476813940.822439,5.313104,2,244,1
192.168.199.134,445,192.168.199.133,49735,TCP,1476813935.572252,1476813937.508943,1.936691,2,264,1
192.168.199.133,9472,192.168.199.134,445,TCP,1476813935.573515,1476813945.823171,10.249656,4,468,1
75.168.199.134,445,192.168.199.133,49671,TCP,1476813935.634382,1476813939.57161,3.937228,2,244,1
192.168.199.133,43690,192.168.170.170,43690,TCP,1476813935.635371,1476813941.635593,6.000222,3,351,1
192.168.71.134,445,192.168.199.133,49671,TCP,1476813935.696862,1476813945.821577,10.124715,3,394,1
192.168.199.134,445,192.168.199.133,49159,TCP,1476813935.698041,1476813941.63538,5.937339,2,264,1
192.168.199.134,445,37.0.199.133,49671,TCP,1476813935.698769,1476813948.446877,12.748108,6,747,1
192.168.199.134,445,64.168.199.133,49671,TCP,1476813935.82212,1476813967.793745,31.971625,3,318,1
192.168.199.134,445,192.168.199.133,49743,TCP,1476813935.823913,1476813941.132983,5.309070,2,253,1
192.168.199.134,445,192.168.199.133,49720,TCP,1476813935.947073,1476813944.197154,8.250081,2,284,1
192.168.199.133,49671,192.168.199.119,445,TCP,1476813936.073688,1476813948.382607,12.308919,2,183,1
224.168.199.134,445,192.168.199.133,49671,TCP,1476813936.259702,1476813947.321737,11.062035,3,386,1
192.168.199.133,49679,192.168.199.134,445,TCP,1476813936.321406,1476813940.447339,4.125933,2,234,1
192.168.199.134,445,192.40.199.133,49671,TCP,1476813936.383602,1476813944.758994,8.375392,5,618,1
192.168.199.133,49667,192.168.199.134,445,TCP,1476813936.446885,1476813942.632594,6.185709,2,171,1
192.168.199.166,445,192.168.199.133,49671,TCP,1476813936.947578,1476813962.664744,25.717166,2,184,1
192.168.199.133,49834,192.168.199.134,43690,TCP,1476813937.259986,1476813948.25864,10.998654,3,351,1
